planet_name,host_name,number_of_stars,number_of_planets,discoverymethod,disc_facility,type,class_scores_EB,class_scores_PC,class_scores_V,class_scores_IS,predicted_classification
TOI-1842 b,TOI-1842,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.0067245774,0.99304044,9.663736e-07,0.00023396296,PC
TOI-1853 b,TOI-1853,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,2.2673157e-06,0.0006196219,0.0009980772,0.99838006,IS
TOI-1859 b,TOI-1859,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.43757313,0.56242514,7.665621e-09,1.755343e-06,PC
TOI-1860 b,TOI-1860,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.6024822,0.39702234,7.0011724e-06,0.00048845453,EB
TOI-1899 b,TOI-1899,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10501179,0.8949861,4.0555257e-09,2.1823068e-06,PC
TOI-1937 A b,TOI-1937 A,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.40413582,0.5958619,1.6486537e-07,2.0573855e-06,PC
TOI-199 b,TOI-199,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.7889811,0.21100639,5.2434224e-08,1.2479242e-05,EB
TOI-2000 b,TOI-2000,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.33973595,0.66026026,5.5292606e-08,3.6957413e-06,PC
TOI-2000 c,TOI-2000,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.33973595,0.66026026,5.5292606e-08,3.6957413e-06,PC
TOI-201 b,TOI-201,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.91946316,0.08053054,2.4829856e-08,6.360688e-06,EB
TOI-2010 b,TOI-2010,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.8418257,0.1581617,3.8230215e-08,1.2582672e-05,EB
TOI-2025 b,TOI-2025,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.115030766,0.88496417,2.6615226e-08,4.9896553e-06,PC
TOI-2046 b,TOI-2046,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.61352235,0.3864713,9.4840414e-07,5.3530202e-06,EB
TOI-2048 b,TOI-2048,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.042910445,0.95706546,2.868012e-06,2.1240197e-05,PC
TOI-206 b,TOI-206,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.024001284,0.9759971,2.1398883e-08,1.5890367e-06,PC
TOI-2076 b,TOI-2076,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.77441335,0.22549914,5.0589233e-06,8.244357e-05,EB
TOI-2076 c,TOI-2076,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.77441335,0.22549914,5.0589233e-06,8.244357e-05,EB
TOI-2076 d,TOI-2076,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.77441335,0.22549914,5.0589233e-06,8.244357e-05,EB
TOI-2081 b,TOI-2081,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.025657965,0.97433543,1.9738249e-07,6.379736e-06,PC
TOI-2084 b,TOI-2084,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.038973432,0.96102154,1.15584236e-07,4.940839e-06,PC
TOI-2095 b,TOI-2095,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.09868427,0.9013112,3.4888515e-08,4.451874e-06,PC
TOI-2095 c,TOI-2095,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.09868427,0.9013112,3.4888515e-08,4.451874e-06,PC
TOI-2096 b,TOI-2096,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.025776416,0.9742216,2.5223104e-08,1.9275128e-06,PC
TOI-2096 c,TOI-2096,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.025776416,0.9742216,2.5223104e-08,1.9275128e-06,PC
TOI-2109 b,TOI-2109,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.029761933,0.07574999,0.3318744,0.56261367,IS
TOI-2134 b,TOI-2134,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.9285364,0.07144641,2.871758e-08,1.7138054e-05,EB
TOI-2134 c,TOI-2134,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.9285364,0.07144641,2.871758e-08,1.7138054e-05,EB
TOI-2136 b,TOI-2136,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.022302067,0.97769654,9.430035e-09,1.4348732e-06,PC
TOI-2141 b,TOI-2141,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.14963584,0.8503621,1.6955262e-08,1.9696322e-06,PC
TOI-2145 b,TOI-2145,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.3407394,0.6592246,4.1674863e-07,3.552704e-05,PC
