planet_name,host_name,number_of_stars,number_of_planets,discoverymethod,disc_facility,type,class_scores_EB,class_scores_PC,class_scores_V,class_scores_IS,predicted_classification
TOI-3688 A b,TOI-3688 A,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.001120271,0.9099354,0.0012465002,0.08769784,PC
TOI-3693 b,TOI-3693,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.0008728213,0.024030063,0.3047713,0.6703259,IS
TOI-3714 b,TOI-3714,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,2.7203976e-05,0.059725765,0.0004848163,0.9397621,IS
TOI-3757 b,TOI-3757,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.1803327,0.8196667,4.3677955e-09,5.952258e-07,PC
TOI-3785 b,TOI-3785,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,7.2779164e-07,0.0024767178,0.0019110697,0.9956115,IS
TOI-3807 b,TOI-3807,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.008456478,0.99154234,6.0282246e-09,1.2006989e-06,PC
TOI-3819 b,TOI-3819,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.38253587,0.6174602,7.203016e-07,3.2526984e-06,PC
TOI-3884 b,TOI-3884,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.25185886,0.7481321,2.477527e-09,9.00806e-06,PC
TOI-3912 b,TOI-3912,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.0056537036,0.00447733,0.1892239,0.80064505,IS
TOI-3984 A b,TOI-3984 A,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.8709005,0.12769891,1.0687859e-06,0.0013994268,EB
TOI-4010 b,TOI-4010,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.11805759,0.88193965,5.3699367e-08,2.673125e-06,PC
TOI-4010 c,TOI-4010,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.11805759,0.88193965,5.3699367e-08,2.673125e-06,PC
TOI-4010 d,TOI-4010,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.11805759,0.88193965,5.3699367e-08,2.673125e-06,PC
TOI-4087 b,TOI-4087,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.8267751,0.17322199,3.176737e-07,2.6855803e-06,EB
TOI-411 b,HD 22946,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03915914,0.96083826,6.1486276e-08,2.5262136e-06,PC
TOI-411 c,HD 22946,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03915914,0.96083826,6.1486276e-08,2.5262136e-06,PC
TOI-4127 b,TOI-4127,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.18212667,0.81786674,8.6866585e-08,6.5689446e-06,PC
TOI-4137 b,TOI-4137,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.37943354,0.62056386,3.6919694e-08,2.5648753e-06,PC
TOI-4145 A b,TOI-4145 A,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.21620815,0.7837866,1.1474192e-08,5.2180153e-06,PC
TOI-4184 b,TOI-4184,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.019238647,0.9807593,6.1975356e-08,1.868743e-06,PC
TOI-421 b,TOI-421,2,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.17527047,0.8247267,1.601217e-08,2.8509494e-06,PC
TOI-421 c,TOI-421,2,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.17527047,0.8247267,1.601217e-08,2.8509494e-06,PC
TOI-4308 b,TOI-4308,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.020914035,0.97908264,8.9331365e-08,3.132075e-06,PC
TOI-431 b,TOI-431,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.096235536,0.9037639,2.0528745e-09,5.2896104e-07,PC
TOI-431 d,TOI-431,1,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.096235536,0.9037639,2.0528745e-09,5.2896104e-07,PC
TOI-4329 b,TOI-4329,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.13334492,0.86665165,5.5230192e-08,3.3521017e-06,PC
TOI-4342 b,TOI-4342,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03136015,0.9685865,4.215733e-06,4.9148854e-05,PC
TOI-4342 c,TOI-4342,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.03136015,0.9685865,4.215733e-06,4.9148854e-05,PC
TOI-4377 b,TOI-4377,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.11639528,0.8835923,3.6821518e-07,1.2073433e-05,PC
TOI-4406 b,TOI-4406,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.21084782,0.78915054,8.811268e-09,1.6222192e-06,PC
TOI-444 b,TOI-444,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.11300775,0.88688624,1.449101e-06,0.000104567815,PC
TOI-4479 b,TOI-4479,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.020872345,0.9791196,2.6028167e-07,7.84154e-06,PC
TOI-451 b,TOI-451,2,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.20457101,0.79535747,7.960941e-07,7.0739196e-05,PC
TOI-451 c,TOI-451,2,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.20457101,0.79535747,7.960941e-07,7.0739196e-05,PC
TOI-451 d,TOI-451,2,3,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.20457101,0.79535747,7.960941e-07,7.0739196e-05,PC
TOI-4551 b,TOI-4551,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,2.763987e-06,0.013940082,0.00597834,0.9800789,IS
TOI-4562 b,TOI-4562,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.029131472,0.9707629,1.2420881e-05,9.32383e-05,PC
TOI-4582 b,TOI-4582,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.057525568,0.9424622,2.4385542e-07,1.2000747e-05,PC
TOI-4600 b,TOI-4600,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.13014123,0.8698559,4.742116e-08,2.8257818e-06,PC
TOI-4600 c,TOI-4600,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.13014123,0.8698559,4.742116e-08,2.8257818e-06,PC
TOI-4603 b,TOI-4603,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.054141313,0.94585454,2.281415e-08,4.1851386e-06,PC
TOI-4641 b,TOI-4641,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.69834566,0.30165428,4.4213508e-10,2.0854593e-08,EB
TOI-470 b,TOI-470,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10349704,0.89649945,6.875812e-08,3.4047157e-06,PC
TOI-481 b,TOI-481,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.8536998,0.14629784,7.091826e-08,2.29902e-06,EB
TOI-4860 b,TOI-4860,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.00045405934,0.63720095,0.0012279225,0.36111704,PC
TOI-500 b,TOI-500,1,4,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.027583022,0.9724157,4.2491674e-08,1.2265959e-06,PC
TOI-5126 b,TOI-5126,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.18732938,0.81250894,9.214398e-05,6.947252e-05,PC
TOI-5126 c,TOI-5126,1,2,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.18732938,0.81250894,9.214398e-05,6.947252e-05,PC
TOI-5153 b,TOI-5153,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,6.094254e-05,0.034902718,0.035844296,0.929192,IS
TOI-5174 b,TOI-5174,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.017062927,0.9829365,6.047603e-09,6.051504e-07,PC
TOI-519 b,TOI-519,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.09615592,0.9038432,3.9384002e-08,8.3768583e-07,PC
TOI-5293 A b,TOI-5293 A,2,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,6.764478e-06,0.00261269,0.01838909,0.9789915,IS
TOI-530 b,TOI-530,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.10027309,0.8997259,2.7589932e-08,9.362433e-07,PC
TOI-532 b,TOI-532,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,0.13956532,0.86043173,9.7565476e-08,2.8493703e-06,PC
TOI-5344 b,TOI-5344,1,1,Transit,Transiting Exoplanet Survey Satellite (TESS),PC,1.7850212e-07,0.00054573594,0.0015400694,0.997914,IS
