TIC,disc_facility,discoverymethod,number_of_stars,number_of_planets,type,subtype,label,class_scores_EB,class_scores_PC,class_scores_V,class_scores_IS,predicted_classification
TOI-1136 d,Transiting Exoplanet Survey Satellite (TESS),Transit,1,6,PC,multiple,1.0,0.61299735,0.38674176,0.00017123226,8.970548e-05,EB
TOI-1136 e,Transiting Exoplanet Survey Satellite (TESS),Transit,1,6,PC,multiple,1.0,0.61299735,0.38674176,0.00017123226,8.970548e-05,EB
TOI-1136 f,Transiting Exoplanet Survey Satellite (TESS),Transit,1,6,PC,multiple,1.0,0.61299735,0.38674176,0.00017123226,8.970548e-05,EB
TOI-1136 g,Transiting Exoplanet Survey Satellite (TESS),Transit,1,6,PC,multiple,1.0,0.61299735,0.38674176,0.00017123226,8.970548e-05,EB
TOI-1246 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.10262616,0.89737225,6.915179e-08,1.5553451e-06,PC
TOI-1246 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.10262616,0.89737225,6.915179e-08,1.5553451e-06,PC
TOI-1246 d,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.10262616,0.89737225,6.915179e-08,1.5553451e-06,PC
TOI-1246 e,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.10262616,0.89737225,6.915179e-08,1.5553451e-06,PC
TOI-125 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.057345614,0.94264686,4.2642955e-07,7.120885e-06,PC
TOI-125 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.057345614,0.94264686,4.2642955e-07,7.120885e-06,PC
TOI-125 d,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.057345614,0.94264686,4.2642955e-07,7.120885e-06,PC
TOI-1260 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.02363082,0.9763614,1.5507558e-07,7.6210245e-06,PC
TOI-1260 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.02363082,0.9763614,1.5507558e-07,7.6210245e-06,PC
TOI-1260 d,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.02363082,0.9763614,1.5507558e-07,7.6210245e-06,PC
TOI-1266 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.12204399,0.87795067,1.444581e-07,5.1782017e-06,PC
TOI-1266 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.12204399,0.87795067,1.444581e-07,5.1782017e-06,PC
TOI-1272 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.09752128,0.90247595,1.9409899e-07,2.560093e-06,PC
TOI-1288 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.16677226,0.83322537,1.3869403e-07,2.227004e-06,PC
TOI-1338 b,Transiting Exoplanet Survey Satellite (TESS),Transit,2,2,PC,multiple,1.0,0.8800746,0.11978477,9.113776e-08,0.00014050909,EB
TOI-1444 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.01279892,0.9871991,3.5408963e-08,1.9958613e-06,PC
TOI-1468 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.37899965,0.6209988,6.775271e-08,1.5008613e-06,PC
TOI-1468 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.37899965,0.6209988,6.775271e-08,1.5008613e-06,PC
TOI-1470 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.07440935,0.9255748,8.621308e-07,1.50678325e-05,PC
TOI-1470 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.07440935,0.9255748,8.621308e-07,1.50678325e-05,PC
TOI-1634 b,Transiting Exoplanet Survey Satellite (TESS),Transit,2,2,PC,multiple,1.0,1.2310629e-07,0.0004856444,0.00030398503,0.99921024,IS
TOI-1670 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.031763047,0.96822274,8.7232695e-07,1.33265185e-05,PC
TOI-1670 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.031763047,0.96822274,8.7232695e-07,1.33265185e-05,PC
TOI-1694 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.16667208,0.8333274,9.870821e-09,5.29235e-07,PC
TOI-1736 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.015516496,0.984479,3.954644e-08,4.408826e-06,PC
TOI-1749 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.028465847,0.9715295,1.3539493e-07,4.647597e-06,PC
TOI-1749 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.028465847,0.9715295,1.3539493e-07,4.647597e-06,PC
TOI-1749 d,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.028465847,0.9715295,1.3539493e-07,4.647597e-06,PC
TOI-178 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,6,PC,multiple,1.0,0.1068591,0.8931385,9.641415e-08,2.2620798e-06,PC
TOI-178 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,6,PC,multiple,1.0,0.1068591,0.8931385,9.641415e-08,2.2620798e-06,PC
TOI-178 d,Transiting Exoplanet Survey Satellite (TESS),Transit,1,6,PC,multiple,1.0,0.1068591,0.8931385,9.641415e-08,2.2620798e-06,PC
TOI-178 e,Transiting Exoplanet Survey Satellite (TESS),Transit,1,6,PC,multiple,1.0,0.1068591,0.8931385,9.641415e-08,2.2620798e-06,PC
TOI-178 g,Transiting Exoplanet Survey Satellite (TESS),Transit,1,6,PC,multiple,1.0,0.1068591,0.8931385,9.641415e-08,2.2620798e-06,PC
TOI-199 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.78898126,0.21100624,5.2434235e-08,1.2479257e-05,EB
TOI-2000 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.3397358,0.6602604,5.5292613e-08,3.6957451e-06,PC
TOI-2000 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.3397358,0.6602604,5.5292613e-08,3.6957451e-06,PC
TOI-2076 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.7744133,0.22549918,5.058918e-06,8.244356e-05,EB
TOI-2076 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.7744133,0.22549918,5.058918e-06,8.244356e-05,EB
TOI-2076 d,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.7744133,0.22549918,5.058918e-06,8.244356e-05,EB
TOI-2095 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.09868419,0.90131134,3.488852e-08,4.4518742e-06,PC
TOI-2095 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.09868419,0.90131134,3.488852e-08,4.4518742e-06,PC
TOI-2096 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.025776405,0.9742216,2.5223056e-08,1.9275112e-06,PC
TOI-2096 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.025776405,0.9742216,2.5223056e-08,1.9275112e-06,PC
TOI-2134 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.92853653,0.071446314,2.8717471e-08,1.713804e-05,EB
TOI-216.01,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.73719335,0.26280087,1.8729441e-08,5.664774e-06,EB
TOI-216.02,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.73719335,0.26280087,1.8729441e-08,5.664774e-06,EB
TOI-2202 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.35705805,0.6429377,4.4643016e-08,4.1470203e-06,PC
TOI-2525 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.080015786,0.9199741,1.9556073e-07,9.874733e-06,PC
TOI-2525 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.080015786,0.9199741,1.9556073e-07,9.874733e-06,PC
TOI-270 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.24045342,0.75954574,6.417045e-09,8.011063e-07,PC
TOI-270 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.24045342,0.75954574,6.417045e-09,8.011063e-07,PC
TOI-270 d,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.24045342,0.75954574,6.417045e-09,8.011063e-07,PC
TOI-4010 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.11805759,0.88193965,5.3699267e-08,2.673125e-06,PC
TOI-4010 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.11805759,0.88193965,5.3699267e-08,2.673125e-06,PC
TOI-4010 d,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.11805759,0.88193965,5.3699267e-08,2.673125e-06,PC
TOI-411 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.03915914,0.96083826,6.1486276e-08,2.5262161e-06,PC
TOI-411 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.03915914,0.96083826,6.1486276e-08,2.5262161e-06,PC
TOI-421 b,Transiting Exoplanet Survey Satellite (TESS),Transit,2,2,PC,multiple,1.0,0.1752706,0.8247266,1.6012198e-08,2.850949e-06,PC
TOI-421 c,Transiting Exoplanet Survey Satellite (TESS),Transit,2,2,PC,multiple,1.0,0.1752706,0.8247266,1.6012198e-08,2.850949e-06,PC
TOI-431 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.09623562,0.9037639,2.0528783e-09,5.2896206e-07,PC
TOI-431 d,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.09623562,0.9037639,2.0528783e-09,5.2896206e-07,PC
TOI-4342 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.03136015,0.9685865,4.215733e-06,4.9148854e-05,PC
TOI-4342 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.03136015,0.9685865,4.215733e-06,4.9148854e-05,PC
TOI-451 b,Transiting Exoplanet Survey Satellite (TESS),Transit,2,3,PC,multiple,1.0,0.20457111,0.79535747,7.960941e-07,7.0739196e-05,PC
TOI-451 c,Transiting Exoplanet Survey Satellite (TESS),Transit,2,3,PC,multiple,1.0,0.20457111,0.79535747,7.960941e-07,7.0739196e-05,PC
TOI-451 d,Transiting Exoplanet Survey Satellite (TESS),Transit,2,3,PC,multiple,1.0,0.20457111,0.79535747,7.960941e-07,7.0739196e-05,PC
TOI-4600 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.13014111,0.86985594,4.742107e-08,2.8257796e-06,PC
TOI-4600 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.13014111,0.86985594,4.742107e-08,2.8257796e-06,PC
TOI-500 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.027583016,0.9724157,4.2491592e-08,1.2265937e-06,PC
TOI-5126 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.18732938,0.81250894,9.214398e-05,6.947258e-05,PC
TOI-5126 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.18732938,0.81250894,9.214398e-05,6.947258e-05,PC
TOI-5398 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,3.2223826e-07,0.00078904285,0.086635984,0.91257465,IS
TOI-5398 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,3.2223826e-07,0.00078904285,0.086635984,0.91257465,IS
TOI-544 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,2,PC,multiple,1.0,0.014543019,0.98545545,3.5272137e-08,1.4834703e-06,PC
TOI-561 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.109001316,0.8909705,6.340265e-07,2.7470542e-05,PC
TOI-561 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.109001316,0.8909705,6.340265e-07,2.7470542e-05,PC
TOI-561 d,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.109001316,0.8909705,6.340265e-07,2.7470542e-05,PC
TOI-561 e,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.109001316,0.8909705,6.340265e-07,2.7470542e-05,PC
TOI-700 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.07127879,0.9287198,1.880938e-08,1.306607e-06,PC
TOI-700 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.07127879,0.9287198,1.880938e-08,1.306607e-06,PC
TOI-700 d,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.07127879,0.9287198,1.880938e-08,1.306607e-06,PC
TOI-700 e,Transiting Exoplanet Survey Satellite (TESS),Transit,1,4,PC,multiple,1.0,0.07127879,0.9287198,1.880938e-08,1.306607e-06,PC
TOI-712 b,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.18840526,0.8115877,4.0056787e-07,6.6812013e-06,PC
TOI-712 c,Transiting Exoplanet Survey Satellite (TESS),Transit,1,3,PC,multiple,1.0,0.18840526,0.8115877,4.0056787e-07,6.6812013e-06,PC
